Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/input_First Name_03b7fe2a-3e68-45ab-aab0-ad_c608d0""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:25,2022-04-11 11:14:25,0.745s,PASSED
"click(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/form_PERSONALIZE YOUR EXPERIENCE1. Tell us _fbf02e""))",Chrome 100.0.4896.75,,,2022-04-11 11:14:25,2022-04-11 11:14:27,1.481s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/input_First Name_03b7fe2a-3e68-45ab-aab0-ad_c608d0_1_2""), """")",Chrome 100.0.4896.75,,,2022-04-11 11:14:27,2022-04-11 11:14:28,1.123s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/input_Last Name_b7646462-9b79-4a9f-bfac-a4d_a09211""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:28,2022-04-11 11:14:29,0.869s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/input_Last Name_b7646462-9b79-4a9f-bfac-a4d_a09211_1""), """")",Chrome 100.0.4896.75,,,2022-04-11 11:14:29,2022-04-11 11:14:29,0.719s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/input_Email_ca07a407-accc-4c4a-b2c3-cdf136bcce09""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:29,2022-04-11 11:14:30,0.645s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/input_Email_ca07a407-accc-4c4a-b2c3-cdf136bcce09_1""), """")",Chrome 100.0.4896.75,,,2022-04-11 11:14:30,2022-04-11 11:14:31,0.660s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/p_2. Enter your address""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:31,2022-04-11 11:14:31,0.659s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/p_2. Enter your address""), ""2. Enter your address."")",Chrome 100.0.4896.75,,,2022-04-11 11:14:31,2022-04-11 11:14:32,0.782s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Drive to Thrive Form EN/Page_/div_You may receive some gifts closer to yo_321671""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:14:32,2022-04-11 11:14:33,0.879s,PASSED
