Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementClickable(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/button_Liquid""))",Chrome 100.0.4896.127,,,2022-04-18 23:22:05,2022-04-18 23:22:05,0.435s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/span_2. Select type""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:22:05,2022-04-18 23:22:06,0.551s,PASSED
"verifyElementText(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/span_2. Select type""), ""2. Select type"")",Chrome 100.0.4896.127,,,2022-04-18 23:22:06,2022-04-18 23:22:06,0.420s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/button_Tub""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:22:06,2022-04-18 23:22:06,0.471s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/button_Refill""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:22:06,2022-04-18 23:22:07,0.437s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/button_Sticks""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:22:07,2022-04-18 23:22:07,0.418s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/button_Can""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:22:07,2022-04-18 23:22:08,0.410s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/span_3. Select size""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:22:08,2022-04-18 23:22:08,0.424s,PASSED
"verifyElementText(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/span_3. Select size""), ""3. Select size"")",Chrome 100.0.4896.127,,,2022-04-18 23:22:08,2022-04-18 23:22:09,0.479s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/img_Nutrition for brain building  immune su_3f1f83""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:22:09,2022-04-18 23:22:09,0.433s,PASSED
